run_name,sample_idx,sample_id,question,gold_label,original_answer_correct,concept_i,concept,category,description,current_value,alternative_value,mentioned_in_explanation,original_answer_label,original_answer,original_explanation,counterfactual_answer_label,counterfactual_answer,counterfactual_explanation,answer_changed,counterfactual_context_changed,change_summary,changed_span_original,changed_span_counterfactual,cf_generation_warnings
target_qwen3_5_27b__aux_qwen3_5_27b,8,17113061,Do mutations causing low HDL-C promote increased carotid intima-media thickness?,no,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,no,"No, the study indicates that carotid intima-media thickness was nearly identical between cases with mutations and controls.","The abstract reports that despite significantly lower HDL cholesterol in cases with mutations, cIMT measurements were nearly identical between cases and controls.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_5_27b__aux_qwen3_5_27b,17,17096624,Do patterns of knowledge and attitudes exist among unvaccinated seniors?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, patterns of knowledge and attitudes exist among unvaccinated seniors.",The abstract states that the study examined these patterns and identified 4 distinct clusters among unvaccinated seniors based on their immunization-related knowledge and attitudes.,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_5_27b__aux_qwen3_5_27b,29,28707539,Visceral adipose tissue area measurement at a single level: can it represent visceral adipose tissue volume?,yes,False,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,PARSE_ERROR,PARSE_ERROR,,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_5_27b__aux_qwen3_5_27b,32,9645785,Is a mandatory general surgery rotation necessary in the surgical clerkship?,no,False,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,PARSE_ERROR,PARSE_ERROR,,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_5_27b__aux_qwen3_5_27b,46,19504993,It's Fournier's gangrene still dangerous?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, Fournier's gangrene is still dangerous as the mortality rate remains high.","The abstract background states that despite antibiotics and aggressive debridement, the mortality rate remains high, and the results show that 5 out of 14 patients died.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_5_27b__aux_qwen3_5_27b,54,25277731,Sternal fracture in growing children : A rare and often overlooked fracture?,maybe,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,PARSE_ERROR,PARSE_ERROR,,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_5_27b__aux_qwen3_5_27b,59,27491658,Can predilatation in transcatheter aortic valve implantation be omitted?,yes,False,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,PARSE_ERROR,PARSE_ERROR,,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_5_27b__aux_qwen3_5_27b,71,18049437,Is there any relationship between streptococcal infection and multiple sclerosis?,yes,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,yes,"Yes, the study found significantly higher antideoxyribonuclease B levels in patients with multiple sclerosis compared to controls.","The abstract reports that ADNase B levels were significantly higher in MS patients than in healthy blood donors (p<0.001), indicating an association between streptococcal infection markers and the disease.",,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_5_27b__aux_qwen3_5_27b,86,11570976,Is it Crohn's disease?,maybe,True,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,PARSE_ERROR,PARSE_ERROR,,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
target_qwen3_5_27b__aux_qwen3_5_27b,95,23076787,Can increases in the cigarette tax rate be linked to cigarette retail prices?,no,False,0,CONCEPT_EXTRACTION_FAILED,error,"No JSON found in output:
",,,False,PARSE_ERROR,PARSE_ERROR,,,,,False,False,"No JSON found in output:
",,,['concept extraction failed']
