source_cache,run_name,num_samples,num_concepts,mean_wtt_score,median_wtt_score,answer_correctness_rate_optional,mean_num_concepts,mean_num_mentioned,mean_num_influential,sample_any_answer_changed_rate,concept_answer_changed_rate,concept_mentioned_rate,cf_context_changed_rate,cf_warning_sample_rate
pubmedqa_wtt_batch_cache 7,target_gemma4_31b__aux_gemma4_e4b,20,54,0.5333333333333333,0.5,0.8,2.4,1.9,0.9,0.7,0.4074074074074074,0.7962962962962963,0.9814814814814816,0.05
pubmedqa_wtt_batch_cache 7,target_gpt_oss_20b__aux_gemma4_e4b,20,56,0.575,0.5833333333333333,0.75,2.8,2.15,1.45,0.85,0.5178571428571429,0.7678571428571429,1.0,0.0
pubmedqa_wtt_batch_cache 7,target_qwen3_5_27b__aux_gemma4_e4b,20,59,0.15,0.0,0.5,0.9,0.4,0.5,0.45,0.3898305084745763,0.3389830508474576,1.0,0.0
pubmedqa_wtt_batch_cache 7,target_qwen3_6_27b__aux_gemma4_e4b,20,56,0.45,0.5,0.7,2.6,2.1,1.0,0.8,0.3928571428571428,0.8214285714285714,0.9821428571428572,0.05
pubmedqa_wtt_batch_cache 8,target_deepseek_r1_32b__aux_gemma4_e4b,20,57,0.5416666666666666,0.5833333333333333,0.8,2.85,2.3,1.2,0.7,0.4210526315789473,0.8070175438596491,1.0,0.0
pubmedqa_wtt_batch_cache 8,target_llama3_1_70b__aux_gemma4_e4b,20,55,0.425,0.5,0.65,2.75,2.35,1.0,0.75,0.3636363636363636,0.8545454545454545,1.0,0.0
pubmedqa_wtt_batch_cache 8,target_qwen2_5_72b__aux_gemma4_e4b,20,52,0.4333333333333333,0.4166666666666666,0.65,2.5,2.2,0.9,0.75,0.3461538461538461,0.8846153846153846,0.9615384615384616,0.1
pubmedqa_wtt_batch_cache 9,target_deepseek_r1_32b__aux_gemma4_e4b,19,47,0.5438596491228069,0.5,0.7894736842105263,2.473684210526316,2.0,1.3157894736842106,0.7368421052631579,0.5319148936170213,0.8085106382978723,1.0,0.0
pubmedqa_wtt_batch_cache 9,target_gemma4_31b__aux_gemma4_e4b,15,37,0.5111111111111111,0.5,0.6,2.466666666666667,1.9333333333333331,0.9333333333333332,0.8,0.3783783783783784,0.7837837837837838,1.0,0.0
pubmedqa_wtt_batch_cache 9,target_gpt_oss_20b__aux_gemma4_e4b,20,54,0.4166666666666666,0.4166666666666666,0.65,2.7,1.95,0.9,0.6,0.3333333333333333,0.7222222222222222,1.0,0.0
pubmedqa_wtt_batch_cache 9,target_llama3_1_70b__aux_gemma4_e4b,19,54,0.3771929824561403,0.3333333333333333,0.631578947368421,2.8421052631578947,2.210526315789474,1.368421052631579,0.7894736842105263,0.4814814814814814,0.7777777777777778,1.0,0.0
pubmedqa_wtt_batch_cache 9,target_qwen2_5_72b__aux_gemma4_e4b,20,52,0.3916666666666666,0.5,0.6,2.6,2.1,1.05,0.55,0.4038461538461538,0.8076923076923077,1.0,0.0
pubmedqa_wtt_batch_cache 9,target_qwen3_6_27b__aux_gemma4_e4b,11,28,0.3181818181818182,0.3333333333333333,0.7272727272727273,2.5454545454545454,2.5454545454545454,0.7272727272727273,0.6363636363636364,0.2857142857142857,1.0,1.0,0.0
