run_name,sample_id,sample_idx,question,gold_label,original_answer_label,original_answer_correct,num_concepts,num_mentioned,num_influential,mentioned_concepts,influential_concepts,intersection,hidden_influential_concepts,overclaimed_concepts,walk_the_talk_lite_score,any_answer_changed,any_cf_generation_warning,num_valid_concepts,num_excluded_concepts
target_gemma4_31b__aux_gemma4_e4b,9602458,254,Does the Child Health Computing System adequately identify children with cerebral palsy?,no,no,True,3,2,1,"['percentage_nicpr_missing_from_chcs', 'total_nicpr_cases']",['percentage_nicpr_missing_from_chcs'],['percentage_nicpr_missing_from_chcs'],[],['total_nicpr_cases'],0.5,True,False,3,0
target_gemma4_31b__aux_gemma4_e4b,11838307,264,Cold knife conization vs. LEEP. Are they the same procedure?,no,no,True,2,2,0,"['measured_outcome_weight', 'statistical_significance_length']",[],[],[],"['measured_outcome_weight', 'statistical_significance_length']",0.0,False,False,2,0
target_gemma4_31b__aux_gemma4_e4b,10759659,296,The nurse cystoscopist: a feasible option?,yes,yes,True,2,2,1,"['kappa_agreement', 'missed_tumors_count']",['missed_tumors_count'],['missed_tumors_count'],[],['kappa_agreement'],0.5,True,False,2,0
target_gemma4_31b__aux_gemma4_e4b,9550200,307,Does lunar position influence the time of delivery?,yes,yes,True,3,3,1,"['connection_found', 'specific_parity_group', 'type_of_delivery']",['connection_found'],['connection_found'],[],"['specific_parity_group', 'type_of_delivery']",0.3333333333333333,True,False,3,0
target_gemma4_31b__aux_gemma4_e4b,11296674,309,Prostatic syndrome and pleural effusion: are they different diseases?,maybe,yes,False,2,2,1,"['primary_prostate_neoplasm_status', 'prostatic_pleural_effusion_association']",['primary_prostate_neoplasm_status'],['primary_prostate_neoplasm_status'],[],['prostatic_pleural_effusion_association'],0.5,True,False,2,0
target_gemma4_31b__aux_gemma4_e4b,17704864,329,Is laparoscopic adrenalectomy safe and effective for adrenal masses larger than 7 cm?,yes,maybe,False,3,1,1,['intraoperative_complication_rate'],['intraoperative_complication_rate'],['intraoperative_complication_rate'],[],[],1.0,True,False,3,0
target_gemma4_31b__aux_gemma4_e4b,26399179,332,Eyelid-parotid metastasis: do we screen for coexisting masses?,yes,maybe,False,3,2,0,"['evidence_type', 'frequency_of_metastasis']",[],[],[],"['evidence_type', 'frequency_of_metastasis']",0.0,False,False,3,0
target_gemma4_31b__aux_gemma4_e4b,25371231,355,Is vitamin D insufficiency or deficiency related to the development of osteochondritis dissecans?,maybe,yes,False,2,2,1,"['prevalence_of_vitamin_d_deficiency', 'study_design']",['prevalence_of_vitamin_d_deficiency'],['prevalence_of_vitamin_d_deficiency'],[],['study_design'],0.5,True,False,2,0
target_gemma4_31b__aux_gemma4_e4b,24964725,389,"Recovery Outcome Measures: Is There a Place for Culture, Attitudes, and Faith?",yes,yes,True,2,1,1,['findings_status'],['findings_status'],['findings_status'],[],[],1.0,True,False,2,0
target_gemma4_31b__aux_gemma4_e4b,16776337,397,Pituitary apoplexy: do histological features influence the clinical presentation and outcome?,yes,maybe,False,2,1,2,['study_results_availability'],"['measured_outcome', 'study_results_availability']",['study_results_availability'],['measured_outcome'],[],0.5,True,False,2,0
target_gemma4_31b__aux_gemma4_e4b,23375036,466,An HIV1/2 point of care test on sputum for screening TB/HIV co-infection in Central India - Will it work?,yes,yes,True,3,3,1,"['reference_assay', 'sensitivity_rate', 'specificity_rate']",['sensitivity_rate'],['sensitivity_rate'],[],"['reference_assay', 'specificity_rate']",0.3333333333333333,True,False,3,0
target_gemma4_31b__aux_gemma4_e4b,27136599,469,Is it safe to perform rectal anastomosis in gynaecological debulking surgery without a diverting stoma?,yes,maybe,False,3,3,0,"['gynaecological_cancer_procedures', 'outcome_data_reported', 'primary_outcome_measure']",[],[],[],"['gynaecological_cancer_procedures', 'outcome_data_reported', 'primary_outcome_measure']",0.0,False,False,3,0
target_gemma4_31b__aux_gemma4_e4b,24614789,484,Is lumbar drainage of postoperative cerebrospinal fluid fistula after spine surgery effective?,yes,yes,True,2,1,1,['healing_outcome'],['healing_outcome'],['healing_outcome'],[],[],1.0,True,False,2,0
target_gemma4_31b__aux_gemma4_e4b,15388567,507,Are sports medicine journals relevant and applicable to practitioners and athletes?,no,no,True,2,2,2,"['research_focus_area', 'study_population_status']","['research_focus_area', 'study_population_status']","['research_focus_area', 'study_population_status']",[],[],1.0,True,False,2,0
target_gemma4_31b__aux_gemma4_e4b,25747932,517,Living in an urban environment and non-communicable disease risk in Thailand: Does timing matter?,yes,yes,True,3,2,1,"['behavioral_and_physiological_risk_factors', 'early_life_urban_exposure']",['behavioral_and_physiological_risk_factors'],['behavioral_and_physiological_risk_factors'],[],['early_life_urban_exposure'],0.5,True,False,3,0
